;;;;;13;12;11;10;9;8;7;6;5;4;3;2;1;0;;;;;;;;9;8;7;6;5;4;3;2;1;0;10;11;12;13
Assambler inst;Assambler code;Instrucción;Operando 1;Operando 2;;;;salto;s1;s2;s3;ma1;ma2;mb1;mb2;la;lb;w;;;;;;;;s1;s2;s3;ma1;ma2;mb1;mb2;la;lb;w;salto;;;
NOP;00000000000000;NOP;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MOV A, B;00000000010100;MOV;A;B;0;0;0;0;0;0;0;0;0;1;0;1;0;0;;;;;;;;0;0;0;0;0;1;0;1;1;0;0;0;0;0
MOV B, A;00000001000010;MOV;B;A;0;0;0;0;0;0;0;1;0;0;0;0;1;0;;;;;;;;0;0;0;1;0;0;0;0;0;0;0;0;0;0
MOV A, Lit;00000000001100;MOV;A;Lit;0;0;0;0;0;0;0;0;0;0;1;1;0;0;;;;;;;;0;0;0;0;0;0;1;1;0;0;0;0;0;0
MOV B, Lit;00000000001010;MOV;B;Lit;0;0;0;0;0;0;0;0;0;0;1;0;1;0;;;;;;;;0;0;0;0;0;0;1;0;0;0;0;0;0;0
MOV A, (Dir);00000000011100;MOV;A;(Dir);0;0;0;0;0;0;0;0;0;1;1;1;0;0;;;;;;;;0;0;0;0;0;1;1;1;0;0;0;0;0;0
MOV B, (Dir);00000000011010;MOV;B;(Dir);0;0;0;0;0;0;0;0;0;1;1;0;1;0;;;;;;;;0;0;0;0;0;1;1;0;0;0;0;0;0;0
MOV (Dir), A;00000001100001;MOV;(Dir);A;0;0;0;0;0;0;0;1;1;0;0;0;0;1;;;;;;;;0;0;0;1;0;1;1;0;0;1;0;0;0;0
MOV (Dir), B;00000000010001;MOV;(Dir);B;0;0;0;0;0;0;0;0;0;1;0;0;0;1;;;;;;;;0;0;0;;;1;0;0;1;1;0;0;0;0
ADD A, B;00000001010100;ADD;A;B;0;0;0;0;0;0;0;1;0;1;0;1;0;0;;;;;;;;0;0;0;1;0;1;0;1;1;0;0;0;0;0
ADD B, A;00000001010010;ADD;B;A;0;0;0;0;0;0;0;1;0;1;0;0;1;0;;;;;;;;0;0;0;1;0;1;0;0;0;0;0;0;0;0
ADD A, Lit;00000001001100;ADD;A;Lit;0;0;0;0;0;0;0;1;0;0;1;1;0;0;;;;;;;;0;0;0;1;0;0;1;1;0;0;0;0;0;0
ADD B, Lit;000000010000;ADD;B;Lit;0;0;0;0;0;0;0;;;1;0;0;0;0;;;no esta;;;;;0;0;0;;;1;0;0;0;0;0;0;0;0
ADD A, (Dir);00000001011100;ADD;A;(Dir);0;0;0;0;0;0;0;1;0;1;1;1;0;0;;;;;;;;0;0;0;1;0;1;1;1;0;0;0;0;0;0
ADD B, (Dir);00000001110000;ADD;B;(Dir);0;0;0;0;0;0;0;1;1;1;0;0;0;0;;;no esta;;;;;0;0;0;1;1;1;0;0;0;0;0;0;0;0
ADD (Dir);00000001010001;ADD;(Dir);;0;0;0;0;0;0;0;1;0;1;0;0;0;1;;;;;;;;0;0;0;1;0;1;0;0;0;1;0;0;0;0
SUB A, B;00000011010100;SUB;A;B;0;0;0;0;0;0;1;1;0;1;0;1;0;0;;;;;;;;0;0;1;1;0;1;0;1;1;0;0;0;0;0
SUB B, A;00000011010010;SUB;B;A;0;0;0;0;0;0;1;1;0;1;0;0;1;0;;;;;;;;0;0;1;1;0;1;0;0;0;0;0;0;0;0
SUB A, Lit;00000011001100;SUB;A;Lit;0;0;0;0;0;0;1;1;0;0;1;1;0;0;;;;;;;;0;0;1;1;0;0;1;1;0;0;0;0;0;0
SUB B, Lit;000000110000;SUB;B;Lit;0;0;0;0;0;0;1;;;1;0;0;0;0;;;no esta;;;;;0;0;1;;;1;0;0;0;0;0;0;0;0
SUB A, (Dir);00000011011100;SUB;A;(Dir);0;0;0;0;0;0;1;1;0;1;1;1;0;0;;;;;;;;0;0;1;1;0;1;1;1;0;0;0;0;0;0
SUB B, (Dir);000000110000;SUB;B;(Dir);0;0;0;0;0;0;1;;;1;0;0;0;0;;;no está;;;;;0;0;1;;;1;0;0;0;0;0;0;0;0
SUB (Dir);00000011010001;SUB;(Dir);;0;0;0;0;0;0;1;1;0;1;0;0;0;1;;;;;;;;0;0;1;1;0;1;0;0;0;1;0;0;0;0
AND A, B;00000101010100;AND;A;B;0;0;0;0;0;1;0;1;0;1;0;1;0;0;;;;;;;;0;1;0;1;0;1;0;1;1;0;0;0;0;0
AND B, A;00000101010010;AND;B;A;0;0;0;0;0;1;0;1;0;1;0;0;1;0;;;;;;;;0;1;0;1;0;1;0;0;0;0;0;0;0;0
AND A, Lit;00000101001100;AND;A;Lit;0;0;0;0;0;1;0;1;0;0;1;1;0;0;;;;;;;;0;1;0;1;0;0;1;1;0;0;0;0;0;0
AND B, Lit;000001010000;AND;B;Lit;0;0;0;0;0;1;0;;;1;0;0;0;0;;;no esta;;;;;0;1;0;;;1;0;0;0;0;0;0;0;0
AND A, (Dir);00000101011100;AND;A;(Dir);0;0;0;0;0;1;0;1;0;1;1;1;0;0;;;;;;;;0;1;0;1;0;1;1;1;0;0;0;0;0;0
AND B, (Dir);000001010000;AND;B;(Dir);0;0;0;0;0;1;0;;;1;0;0;0;0;;;no esta;;;;;0;1;0;;;1;0;0;0;0;0;0;0;0
AND (Dir);00000101010001;AND;(Dir);;0;0;0;0;0;1;0;1;0;1;0;0;0;1;;;;;;;;0;1;0;1;0;1;0;0;0;1;0;0;0;0
OR A, B;00000111010100;OR;A;B;0;0;0;0;0;1;1;1;0;1;0;1;0;0;;;;;;;;0;1;1;1;0;1;0;1;1;0;0;0;0;0
OR B, A;00000111010010;OR;B;A;0;0;0;0;0;1;1;1;0;1;0;0;1;0;;;;;;;;0;1;1;1;0;1;0;0;0;0;0;0;0;0
OR A, Lit;00000111001100;OR;A;Lit;0;0;0;0;0;1;1;1;0;0;1;1;0;0;;;;;;;;0;1;1;1;0;0;1;1;0;0;0;0;0;0
OR B, Lit;000001110000;OR;B;Lit;0;0;0;0;0;1;1;;;1;0;0;0;0;;;no esta;;;;;0;1;1;;;1;0;0;0;0;0;0;0;0
OR A, (Dir);00000111011100;OR;A;(Dir);0;0;0;0;0;1;1;1;0;1;1;1;0;0;;;;;;;;0;1;1;1;0;1;1;1;0;0;0;0;0;0
OR B, (Dir);000001110000;OR;B;(Dir);0;0;0;0;0;1;1;;;1;0;0;0;0;;;no esta;;;;;0;1;1;;;1;0;0;0;0;0;0;0;0
OR (Dir);00000111010001;OR;(Dir);;0;0;0;0;0;1;1;1;0;1;0;0;0;1;;;;;;;;0;1;1;1;0;1;0;0;0;1;0;0;0;0
XOR A, B;00001001010100;XOR;A;B;0;0;0;0;1;0;0;1;0;1;0;1;0;0;;;;;;;;1;0;0;1;0;1;0;1;1;0;0;0;0;0
XOR B, A;00001001010010;XOR;B;A;0;0;0;0;1;0;0;1;0;1;0;0;1;0;;;;;;;;1;0;0;1;0;1;0;0;0;0;0;0;0;0
XOR A, Lit;00001001001100;XOR;A;Lit;0;0;0;0;1;0;0;1;0;0;1;1;0;0;;;;;;;;1;0;0;1;0;0;1;1;0;0;0;0;0;0
XOR B, Lit;000010010000;XOR;B;Lit;0;0;0;0;1;0;0;;;1;0;0;0;0;;;no esta;;;;;1;0;0;;;1;0;0;0;0;0;0;0;0
XOR A, (Dir);00001001011100;XOR;A;(Dir);0;0;0;0;1;0;0;1;0;1;1;1;0;0;;;;;;;;1;0;0;1;0;1;1;1;0;0;0;0;0;0
XOR B, (Dir);000010010000;XOR;B;(Dir);0;0;0;0;1;0;0;;;1;0;0;0;0;;;no esta;;;;;1;0;0;;;1;0;0;0;0;0;0;0;0
XOR (Dir);00001001010001;XOR;(Dir);;0;0;0;0;1;0;0;1;0;1;0;0;0;1;;;;;;;;1;0;0;1;0;1;0;0;0;1;0;0;0;0
NOT A, ;00001011000100;NOT;A;;0;0;0;0;1;0;1;1;0;0;0;1;0;0;;;;;;;;1;0;1;1;0;0;0;1;0;0;0;0;0;0
NOT B, A;00001011000010;NOT;B;A;0;0;0;0;1;0;1;1;0;0;0;0;1;0;;;;;;;;1;0;1;1;0;1;0;0;0;0;0;0;0;0
NOT (Dir), A;00001011000001;NOT;(Dir);A;0;0;0;0;1;0;1;1;0;0;0;0;0;1;;;;;;;;1;0;1;1;0;1;1;0;0;1;0;0;0;0
SHL A, ;00001101000100;SHL;A;;0;0;0;0;1;1;0;1;0;0;0;1;0;0;;;;;;;;1;1;0;1;0;0;0;1;0;0;0;0;0;0
SHL B, A;00001101000010;SHL;B;A;0;0;0;0;1;1;0;1;0;0;0;0;1;0;;;;;;;;1;1;0;1;0;1;0;0;0;0;0;0;0;0
SHL (Dir), ;00001101000001;SHL;(Dir);;0;0;0;0;1;1;0;1;0;0;0;0;0;1;;;;;;;;1;1;0;1;0;1;1;0;0;1;0;0;0;0
SHR A, ;00001111000100;SHR;A;;0;0;0;0;1;1;1;1;0;0;0;1;0;0;;;;;;;;1;1;1;1;0;0;0;1;0;0;0;0;0;0
SHR B, A;00001111000010;SHR;B;A;0;0;0;0;1;1;1;1;0;0;0;0;1;0;;;;;;;;1;1;1;1;0;1;0;0;0;0;0;0;0;0
SHR (Dir);00001111000001;SHR;(Dir);;0;0;0;0;1;1;1;1;0;0;0;0;0;1;;;;;;;;1;1;1;1;0;1;1;0;0;1;0;0;0;0
INC A;000000010100;INC;A;;0;0;0;0;0;0;0;1;0;;;1;0;0;;;no esta;;;;;0;0;0;1;0;;;1;0;0;0;0;0;0
INC B, ;00000001110010;INC;B;;0;0;0;0;0;0;0;1;1;1;0;0;1;0;;;;;;;;0;0;0;0;1;1;0;0;1;0;0;0;0;0
INC (Dir);00000000111001;INC;(Dir);;0;0;0;0;0;0;0;0;1;1;1;0;0;1;;;no esta;;;;;0;0;0;0;1;1;1;0;0;1;0;0;0;0
DEC A;000010000;DEC;A;;0;0;0;0;;;;1;0;;;0;0;0;;;no esta;;;;;;;;1;0;;;0;0;0;0;0;0;0
CMP A, B;00000011010000;CMP;A;B;0;0;0;0;0;0;1;1;0;1;0;0;0;0;;;;;;;;0;0;1;1;0;1;0;0;0;0;0;0;0;0
CMP A, Lit;00000011001000;CMP;A;Lit;0;0;0;0;0;0;1;1;0;0;1;0;0;0;;;;;;;;0;0;1;1;0;0;1;0;0;0;0;0;0;0
CMP A, (Dir);00000011011000;CMP;A;(Dir);0;0;0;0;0;0;1;1;0;1;1;0;0;0;;;no esta;;;;;0;0;1;1;0;1;1;0;0;0;0;0;0;0
JMP Ins;00010000001000;JMP;Ins;;0;0;0;1;0;0;0;0;0;0;1;0;0;0;;;;;;;;0;0;0;0;0;0;1;0;0;0;1;0;0;0
JEQ Ins;10010000001000;JEQ;Ins;;1;0;0;1;0;0;0;0;0;0;1;0;0;0;;;;;;;;0;0;0;0;0;0;1;0;0;0;1;0;0;1
JNE Ins;01010000001000;JNE;Ins;;0;1;0;1;0;0;0;0;0;0;1;0;0;0;;;;;;;;0;0;0;0;0;0;1;0;0;0;1;0;1;0
JGT Ins;11010000001000;JGT;Ins;;1;1;0;1;0;0;0;0;0;0;1;0;0;0;;;;;;;;0;0;0;0;0;0;1;0;0;0;1;0;1;1
JLT Ins;00110000001000;JLT;Ins;;0;0;1;1;0;0;0;0;0;0;1;0;0;0;;;;;;;;0;0;0;0;0;0;1;0;0;0;1;1;0;0
JGE Ins;10110000001000;JGE;Ins;;1;0;1;1;0;0;0;0;0;0;1;0;0;0;;;;;;;;0;0;0;0;0;0;1;0;0;0;1;1;0;1
JLE Ins;01110000001000;JLE;Ins;;0;1;1;1;0;0;0;0;0;0;1;0;0;0;;;;;;;;0;0;0;0;0;0;1;0;0;0;1;1;1;0
JCR Ins;11110000001000;JCR;Ins;;1;1;1;1;0;0;0;0;0;0;1;0;0;0;;;;;;;;0;0;0;0;0;0;1;0;0;0;1;1;1;1
